Word IPA ARPAbet Pronunciation
ba /bæ/ B|AE baa
be /bɛ/ B|EH beh
bi /bɪ/ B|IH bih
bo /bɒ/ B|AA bo
bu /bʌ/ B|AH buh
bá /beɪ/ B|EY bay
bé /biː/ B|IY bee
bí /baɪ/ B|AY biy
bó /boʊ/ B|OW boh
bú /buː/ B|UW boo
bä /bɔː/ B|AO baw
bë /bɜː/ B|ER ber
bï /bj/ B|Y by
bö /bɔɪ/ B|OY boi
bü /baʊ/ B|AW bow
bâ /bɑː/ B|AA bah
bû /bʊ/ B|UH buu
beé /bɛiː/ B|EH|IY behee
beâ /bɛɑː/ B|EH|AA behah
beû /bɛʊ/ B|EH|UH behuu
bou /bɒʌ/ B|AA|AH bouh
boë /bɒɜː/ B|AA|ER boer
bue /bʌɛ/ B|AH|EH buheh
bui /bʌɪ/ B|AH|IH buhih
buo /bʌɒ/ B|AH|AA buho
buu /bʌʌ/ B|AH|AH buhuh
buá /bʌeɪ/ B|AH|EY buhay
bué /bʌiː/ B|AH|IY buhee
buí /bʌaɪ/ B|AH|AY buhiy
buó /bʌoʊ/ B|AH|OW buhoh
buú /bʌuː/ B|AH|UW buhoo
buä /bʌɔː/ B|AH|AO buhaw
buö /bʌɔɪ/ B|AH|OY buhoi
buâ /bʌɑː/ B|AH|AA buhah
buû /bʌʊ/ B|AH|UH buhuu
báa /beɪæ/ B|EY|AE bayaa
báe /beɪɛ/ B|EY|EH bayeh
bái /beɪɪ/ B|EY|IH bayih
báo /beɪɒ/ B|EY|AA bayo
báu /beɪʌ/ B|EY|AH bayuh
báá /beɪeɪ/ B|EY|EY bayay
báé /beɪiː/ B|EY|IY bayee
báí /beɪaɪ/ B|EY|AY bayiy
báó /beɪoʊ/ B|EY|OW bayoh
báú /beɪuː/ B|EY|UW bayoo
báä /beɪɔː/ B|EY|AO bayaw
báë /beɪɜː/ B|EY|ER bayer
báö /beɪɔɪ/ B|EY|OY bayoi
báü /beɪaʊ/ B|EY|AW bayow
báâ /beɪɑː/ B|EY|AA bayah
báû /beɪʊ/ B|EY|UH bayuu
béa /biːæ/ B|IY|AE beeaa
bée /biːɛ/ B|IY|EH beeeh
béi /biːɪ/ B|IY|IH beeih
béo /biːɒ/ B|IY|AA beeo
béu /biːʌ/ B|IY|AH beeuh
béá /biːeɪ/ B|IY|EY beeay
béí /biːaɪ/ B|IY|AY beeiy
béó /biːoʊ/ B|IY|OW beeoh
béú /biːuː/ B|IY|UW beeoo
béä /biːɔː/ B|IY|AO beeaw
béë /biːɜː/ B|IY|ER beeer
béö /biːɔɪ/ B|IY|OY beeoi
béü /biːaʊ/ B|IY|AW beeow
béâ /biːɑː/ B|IY|AA beeah
béû /biːʊ/ B|IY|UH beeuu
bía /baɪæ/ B|AY|AE biyaa
bíe /baɪɛ/ B|AY|EH biyeh
